,Date,Open*,High,Low,Close**,Volume,Market Cap
200,"Feb 15, 2015",257.51,265.61,227.68,234.82,"56,552,400","3,250,242,178"
201,"Feb 08, 2015",227.69,229.44,221.08,223.41,"17,145,200","3,086,537,315"
202,"Feb 01, 2015",216.87,231.57,212.01,226.97,"29,128,500","3,129,637,468"
203,"Jan 25, 2015",247.35,255.07,243.89,253.72,"33,582,700","3,491,686,145"
204,"Jan 18, 2015",200.05,218.70,194.51,210.34,"30,085,100","2,889,858,038"
205,"Jan 11, 2015",274.61,279.64,265.04,265.66,"18,200,800","3,643,307,731"
206,"Jan 04, 2015",281.15,287.23,257.61,264.20,"55,629,100","3,616,320,975"
207,"Dec 28, 2014",316.16,320.03,311.08,317.24,"11,676,600","4,333,389,568"
208,"Dec 21, 2014",329.54,329.63,318.90,320.84,"15,207,600","4,373,820,008"
209,"Dec 14, 2014",346.73,353.32,345.42,351.63,"12,415,200","4,785,245,608"
210,"Dec 07, 2014",374.84,376.29,373.27,375.10,"6,491,650","5,094,943,517"
211,"Nov 30, 2014",375.51,382.53,373.31,378.05,"9,194,440","5,125,958,175"
212,"Nov 23, 2014",353.17,370.85,353.17,367.57,"15,151,600","4,974,540,006"
213,"Nov 16, 2014",374.73,390.80,374.60,387.88,"11,905,600","5,239,694,300"
214,"Nov 09, 2014",345.38,363.63,344.26,363.26,"24,205,600","4,897,961,165"
215,"Nov 02, 2014",326.08,329.05,320.63,325.89,"8,603,620","4,385,292,372"
216,"Oct 26, 2014",347.49,359.22,343.93,354.70,"11,272,500","4,763,036,253"
217,"Oct 19, 2014",391.25,393.94,386.46,389.55,"5,914,570","5,220,783,140"
218,"Oct 12, 2014",362.61,379.43,356.14,378.55,"17,552,800","5,063,689,090"
219,"Oct 05, 2014",328.92,341.80,289.30,320.51,"83,308,096","4,279,040,870"
220,"Sep 28, 2014",399.47,401.02,374.33,377.18,"23,613,300","5,025,729,375"
221,"Sep 21, 2014",408.08,412.43,393.18,398.82,"26,580,100","5,303,651,275"
222,"Sep 14, 2014",479.12,479.85,476.12,477.89,"13,105,500","6,340,778,582"
223,"Sep 07, 2014",485.13,488.07,482.28,482.28,"8,994,050","6,385,589,802"
224,"Aug 31, 2014",502.90,504.88,474.81,477.76,"44,632,300","6,312,801,960"
225,"Aug 24, 2014",498.29,512.89,497.35,508.29,"19,441,700","6,700,963,067"
226,"Aug 17, 2014",519.14,520.19,483.63,491.80,"24,300,900","6,468,997,661"
227,"Aug 10, 2014",589.17,594.46,587.94,591.06,"7,555,310","7,757,394,871"
228,"Aug 03, 2014",588.89,589.15,581.65,586.67,"9,917,990","7,683,520,602"
